Name,Latitude,Longtitude
The Electric Elephant Cafe Ltd,51.48963990000001,-0.09925359803015894
56a Crampton St,51.490688706885834, -0.10041231238469585
Cinema Museum,51.49233869184551, -0.10519737347539969
Clockwork Studios (Fred Karno's Fun Factory),51.4666214,-0.1029477
Dan Leno's House,51.47298936461922, -0.10727340302447828
Draper Hall,51.4920935,-0.1014934
Troxy,51.5130816,-0.046268
The Prince of Teck,51.49276571491299, -0.1938062567812967
The Toucan,51.5151286,-0.1353426
Southwark Cathedral,51.50618101512345, -0.08962798810307626
Redcross Way Swans Mural,51.5045315,-0.0932275
Crossbones Graveyard & Garden of Remembrance,51.5039022,-0.0956157
The Commit No Nuisance Sign,51.5030151,-0.0969198
Finborough Arms Theatre,51.48660929881269, -0.19009054392070418
Bradley's Spanish Bar,51.5165172,-0.132908
The Astronomer,51.517878,-0.0785704
The Blackfriar,51.5118276,-0.1038945
The Black Prince,51.489675461871464, -0.11215583043045961
The Calder Bookshop & Theatre,51.5029507,-0.1092954
Dover Castle Bar,51.50051643112964, -0.09283810159342994
The Elephant and Castle Pub,51.495829,-0.1005142
Sticky Mango,51.50627,-0.1091642
The Stage Door Pub & Kitchen,51.501278,-0.1095707
Brompton Cemetery,51.4856071,-0.1887066
Famous Three Kings,51.49073297963241, -0.20661753228673704
Blackwing Studios,51.5035004,-0.1003889
LSE Bankside House,51.5063632,-0.1007948
Rev. Thomas Bayes Grave,51.523656,-0.0893026
Royal Statistical Society,51.5228766,-0.0904318
The Turk's Head,51.5037648,-0.0621999
St Paulâ€™s Church Covent Garden,51.5116228,-0.1263823
St George's Cathedral Southwark,51.49766007963355, -0.10747819973722941
School of Historic Dress,51.497442496569995, -0.10819661508369491
King Charles I,51.5324539,-0.1241827
The Courtauld Gallery,51.51161986541989, -0.11752711508317182
The 43 Club, 51.5120692,-0.1303253
Sheephaven Bay,51.535130263708396, -0.14163262857245618
The Dublin Castle,51.5374286,-0.147751
The Cow,51.5191694,-0.1998322
Skehans,51.4670086,-0.0601303
Wilton's Music Hall,51.5107012796357, -0.06689670159304185
Ronnie Scott's Jazz Club,51.513490610281025, -0.13154573042956932
The Prince of Wales,51.48821771448479, -0.10904648561936454
Palestra House,51.5042169,-0.1045173
Lord Nelson,51.50343347641693, -0.10263204211404495
Villa Garden Lodge (Freddy Mercury's Mansion),51.4942319,-0.1986089
William Blake's Cenotaph,51.5235275,-0.089383
Walworth Garden,51.48702456039093, -0.1021674727573191
The Town of Ramsgate,51.50347659303387, -0.06192573042991737
The Grapes,51.5087151,-0.0349695
The Captain Kidd,51.5032233,-0.0589519
Broad Street Pump,51.5133462,-0.1387976
Ye Olde Cheshire Cheese,51.5143141,-0.1093527
